"rules","support","confidence","lift","count"
"{Logitech MK550 Wireless Wave Keyboard and Mouse Combo} => {iMac}",0.0100660904931368,0.410788381742739,1.60385221692729,99
"{Alienware Laptop} => {iMac}",0.0115912557193696,0.414545454545455,1.61852105813995,114
"{HDMI Cable 6ft} => {iMac}",0.0114895780376207,0.44140625,1.72339439013497,113
"{Panasonic In-Ear Headphone} => {iMac}",0.0107778342653787,0.43265306122449,1.68921907786537,106
"{Eluktronics Pro Gaming Laptop} => {HP Laptop}",0.0144382308083376,0.404558404558405,2.08424929744993,142
"{Eluktronics Pro Gaming Laptop} => {iMac}",0.0157600406710727,0.441595441595442,1.72413305601079,155
"{Intel Desktop} => {iMac}",0.0164717844433147,0.415384615384615,1.62179741655724,162
"{AOC Monitor} => {iMac}",0.0171835282155567,0.408212560386473,1.59379536776537,169
"{HP Wireless Mouse} => {HP Laptop}",0.0178952719877987,0.411214953271028,2.11854325061318,176
"{HP Wireless Mouse} => {iMac}",0.0177935943060498,0.408878504672897,1.59639543209922,175
"{Computer Game} => {HP Laptop}",0.0179969496695475,0.428571428571429,2.20796228391828,177
"{Epson Printer} => {iMac}",0.0204372140315201,0.424947145877378,1.65913266363796,201
"{ASUS Chromebook} => {iMac}",0.0213523131672598,0.406976744186047,1.5889703370662,210
"{ASUS 2 Monitor} => {iMac}",0.0280630401626843,0.486772486772487,1.90051901842295,276
"{Belkin Mouse Pad} => {iMac}",0.0241992882562278,0.413194444444444,1.61324627277138,238
"{ASUS Monitor} => {iMac}",0.0276563294356889,0.499082568807339,1.94858160548638,272
"{Microsoft Office Home and Student 2016} => {iMac}",0.0310116929334011,0.466360856269113,1.82082533600902,305
"{Apple Magic Keyboard} => {HP Laptop}",0.0288764616166751,0.402836879432624,2.07538015150333,284
"{Apple Magic Keyboard} => {iMac}",0.0323335027961362,0.451063829787234,1.76110074075325,318
"{ViewSonic Monitor} => {HP Laptop}",0.0479918657854601,0.435023041474654,2.24120042582673,472
"{ViewSonic Monitor} => {iMac}",0.0494153533299441,0.447926267281106,1.74885067038892,486
"{Dell Desktop} => {iMac}",0.0546009150991357,0.407435508345979,1.59076150241473,537
"{HP Laptop,LG Monitor} => {iMac}",0.0102694458566345,0.474178403755869,1.85134759862603,101
"{iMac,LG Monitor} => {HP Laptop}",0.0102694458566345,0.461187214611872,2.37599594327279,101
"{ASUS 2 Monitor,Lenovo Desktop Computer} => {iMac}",0.0108795119471276,0.591160220994475,2.308082879508,107
"{ASUS 2 Monitor,HP Laptop} => {iMac}",0.0110828673106253,0.582887700534759,2.27578425357656,109
"{ASUS Monitor,HP Laptop} => {iMac}",0.0117946110828673,0.582914572864322,2.27588917194149,116
"{ASUS Monitor,iMac} => {HP Laptop}",0.0117946110828673,0.426470588235294,2.19713893938927,116
"{HP Laptop,Microsoft Office Home and Student 2016} => {iMac}",0.0129130655821047,0.552173913043478,2.15586758030274,127
"{iMac,Microsoft Office Home and Student 2016} => {HP Laptop}",0.0129130655821047,0.416393442622951,2.14522237202552,127
"{HP Laptop,HP Monitor} => {iMac}",0.010574478901881,0.502415458937198,1.96159429878815,104
"{Apple Magic Keyboard,Dell Desktop} => {iMac}",0.0101677681748856,0.584795321637427,2.28323223037082,100
"{Apple Magic Keyboard,Lenovo Desktop Computer} => {HP Laptop}",0.010574478901881,0.47926267281106,2.46911911319894,104
"{Apple Magic Keyboard,Lenovo Desktop Computer} => {iMac}",0.0113879003558719,0.516129032258065,2.01513657493373,112
"{Apple Magic Keyboard,HP Laptop} => {iMac}",0.0147432638535841,0.51056338028169,1.99340644901565,145
"{Apple Magic Keyboard,iMac} => {HP Laptop}",0.0147432638535841,0.455974842767296,2.3491422622401,145
"{3-Button Mouse,HP Laptop} => {iMac}",0.010574478901881,0.466367713004484,1.82085210694685,104
"{Acer Aspire,ViewSonic Monitor} => {HP Laptop}",0.0107778342653787,0.602272727272727,3.10285608838516,106
"{Acer Aspire,Dell Desktop} => {HP Laptop}",0.0110828673106253,0.467811158798283,2.41012192078634,109
"{Acer Aspire,Dell Desktop} => {iMac}",0.0110828673106253,0.467811158798283,1.82648779149707,109
"{Acer Aspire,Lenovo Desktop Computer} => {iMac}",0.0108795119471276,0.484162895927602,1.89033032213099,107
"{Acer Aspire,HP Laptop} => {iMac}",0.013421453990849,0.461538461538462,1.80199712950805,132
"{Acer Aspire,iMac} => {HP Laptop}",0.013421453990849,0.437086092715232,2.25182908426103,132
"{Apple MacBook Pro,Dell Desktop} => {iMac}",0.0100660904931368,0.454128440366972,1.77306598293338,99
"{Apple MacBook Pro,HP Laptop} => {iMac}",0.0109811896288765,0.440816326530612,1.7210911359383,108
"{Apple MacBook Air,HP Laptop} => {iMac}",0.0102694458566345,0.426160337552743,1.66386936079048,101
"{Acer Desktop,ViewSonic Monitor} => {iMac}",0.0100660904931368,0.543956043956044,2.12378233120591,99
"{Acer Desktop,Dell Desktop} => {HP Laptop}",0.0124046771733604,0.448529411764706,2.31078405694389,122
"{Acer Desktop,Dell Desktop} => {iMac}",0.0118962887646162,0.430147058823529,1.67943482474371,117
"{Acer Desktop,Lenovo Desktop Computer} => {iMac}",0.0123029994916116,0.530701754385965,2.07203324906152,121
"{Acer Desktop,HP Laptop} => {iMac}",0.0159633960345704,0.511400651465798,1.99667542960148,157
"{Acer Desktop,iMac} => {HP Laptop}",0.0159633960345704,0.43854748603352,2.25935805402811,157
"{Dell Desktop,ViewSonic Monitor} => {HP Laptop}",0.0152516522623284,0.574712643678161,2.96086896310881,150
"{Dell Desktop,ViewSonic Monitor} => {iMac}",0.0147432638535841,0.555555555555556,2.16907061885228,145
"{CYBERPOWER Gamer Desktop,ViewSonic Monitor} => {HP Laptop}",0.0122013218098627,0.502092050209205,2.5867340564733,120
"{CYBERPOWER Gamer Desktop,ViewSonic Monitor} => {iMac}",0.0128113879003559,0.527196652719665,2.05834818558869,126
"{Lenovo Desktop Computer,ViewSonic Monitor} => {HP Laptop}",0.0140315200813421,0.494623655913978,2.54825754631429,138
"{Lenovo Desktop Computer,ViewSonic Monitor} => {iMac}",0.0157600406710727,0.555555555555556,2.16907061885228,155
"{HP Laptop,ViewSonic Monitor} => {iMac}",0.0236908998474835,0.49364406779661,1.92734791853103,233
"{iMac,ViewSonic Monitor} => {HP Laptop}",0.0236908998474835,0.479423868312757,2.4699495782378,233
"{Apple Earpods,Dell Desktop} => {iMac}",0.0111845449923742,0.411985018726592,1.60852427914888,110
"{Apple Earpods,HP Laptop} => {iMac}",0.0140315200813421,0.428571428571429,1.6732830488289,138
"{CYBERPOWER Gamer Desktop,Dell Desktop} => {iMac}",0.0136248093543467,0.448160535117057,1.74976532865274,134
"{Dell Desktop,Lenovo Desktop Computer} => {HP Laptop}",0.0150482968988307,0.409972299168975,2.11214120603817,148
"{Dell Desktop,Lenovo Desktop Computer} => {iMac}",0.0186070157600407,0.506925207756233,1.97920183337934,183
"{Dell Desktop,HP Laptop} => {iMac}",0.0222674123029995,0.495475113122172,1.93449691844246,219
"{Dell Desktop,iMac} => {HP Laptop}",0.0222674123029995,0.407821229050279,2.10105908208984,219
"{CYBERPOWER Gamer Desktop,Lenovo Desktop Computer} => {iMac}",0.0160650737163193,0.446327683615819,1.74260927684064,158
"{CYBERPOWER Gamer Desktop,HP Laptop} => {iMac}",0.0179969496695475,0.422434367541766,1.64932195505092,177
"{HP Laptop,Lenovo Desktop Computer} => {iMac}",0.0230808337569903,0.5,1.95216355696705,227
